Plot,Section,Tag,DBH,Species_code,Alive,Sapflux,Notes,Species
Fresh,West,1511,45,LIST2,Yes,NA,NA,LIST
Fresh,Out-east,1614,55.1,LITU,Yes,NA,NA,LITU
Fresh,Center,1566,55.7,LITU,Yes,NA,NA,LITU
Fresh,Out-east,1619,69.9,LITU,Yes,NA,NA,LITU
Fresh,East,1612,36.7,LITU,Yes,NA,NA,LITU
Fresh,Out-east,1615,38.3,LITU,Yes,NA,NA,LITU
Fresh,West,1505,45.6,LITU,Yes,NA,NA,LITU
Fresh,East,1578,66.7,LITU,Yes,F1,NA,LITU
Fresh,West,1532,36,LITU,Yes,NA,NA,LITU
Fresh,East,1576,69.1,LITU,Yes,NA,NA,LITU
Fresh,West,1525,49.9,LITU,Yes,NA,NA,LITU
Fresh,Out-east,1616,25,LITU,Yes,NA,NA,LITU
Fresh,Center,1551,52.2,LITU,Yes,F6,NA,LITU
Fresh,Center,1557,7.5,LITU,Yes,NA,NA,LITU
Fresh,East,1586,40.6,LITU,Yes,NA,NA,LITU
Fresh,West,1523,67.5,LITU,Yes,NA,NA,LITU
Fresh,East,1579,26.6,LITU,Yes,NA,NA,LITU
Fresh,East,1613,38.3,LITU,Yes,NA,NA,LITU
Fresh,West,1527,42.3,LITU,Yes,NA,NA,LITU
Fresh,Center,1544,39.8,LITU,Yes,NA,NA,LITU
Fresh,East,1591,79,LITU,Yes,F5,NA,LITU
Fresh,East,1599,61.6,LITU,Yes,NA,NA,LITU
Fresh,West,1530,54.9,LITU,Yes,NA,NA,LITU
Fresh,Center,1561,55.8,LITU,Yes,F4,NA,LITU
Fresh,West,1502,61.5,LITU,Yes,NA,NA,LITU
Fresh,Center,1553,16.1,LITU,Yes,NA,NA,LITU
Fresh,Out-east,1635,45.9,LITU,Yes,NA,NA,LITU
Fresh,Center,1552,66,LITU,Yes,F3,NA,LITU
Fresh,Out-east,1621,42.5,LITU,Yes,NA,NA,LITU
Fresh,Out-east,1632,51,LITU,Yes,NA,NA,LITU
Fresh,East,1610,47.8,LITU,Yes,NA,NA,LITU
Fresh,West,1508,50.1,LITU,Yes,NA,NA,LITU
Fresh,Center,1542,49.7,LITU,Yes,NA,NA,LITU
Fresh,East,1587,14.4,LITU,Yes,NA,NA,LITU
Fresh,Center,1568,59.2,LITU,Yes,NA,NA,LITU
Fresh,Center,1556,9.2,NYSY,Yes,NA,NA,NYSY
Fresh,East,1572,8.2,NYSY,Yes,NA,NA,NYSY
Fresh,East,1606,7.7,NYSY,Yes,NA,NA,NYSY
Fresh,West,1503,3.5,NYSY,Yes,NA,NA,NYSY
Fresh,West,1540,19.3,NYSY,Yes,NA,NA,NYSY
Fresh,Center,1565,15,NYSY,Yes,NA,NA,NYSY
Fresh,East,1590,26.7,NYSY,Yes,NA,DBH changed from 26.7,NYSY
Fresh,East,1608,3.6,NYSY,Yes,NA,NA,NYSY
Fresh,East,1636,4.1,NYSY,Yes,NA,Next to 1591,NYSY
Fresh,Center,1554,3.2,NYSY,Yes,NA,NA,NYSY
Fresh,Center,1555,5.4,NYSY,Yes,NA,NA,NYSY
Fresh,East,1611,5.9,NYSY,Yes,NA,NA,NYSY
Fresh,West,1538,19.8,PRAV,Yes,NA,NA,PRAV
Fresh,East,1583,17.5,QUAL,Yes,NA,NA,QUAL
Fresh,East,1574,34.8,QUFA,Yes,NA,QUVE?,QUFA
Salt,East,1738,25.6,NA,Yes,NA,NA,NA
Salt,West,1807,19,NA,Yes,NA,NA,NA
Salt,East,1728,20.7,ACRU,Yes,NA,NA,ACRU
Salt,Out-west,1869,19,ACRU,Yes,NA,NA,ACRU
Salt,East,1726,11.4,ACRU,Yes,NA,NA,ACRU
Salt,Center,1796,8.2,ACRU,Yes,NA,NA,ACRU
Salt,East,1745,50.3,ACRU,Yes,NA,NA,ACRU
Salt,East,1747,22.4,ACRU,Yes,NA,NA,ACRU
Salt,Center,1775,18.2,ACRU,Yes,NA,NA,ACRU
Salt,Center,1772,20.3,ACRU,Yes,NA,NA,ACRU
Salt,East,1749,21,ACRU,Yes,NA,NA,ACRU
Salt,West,1835,14,ACRU,Yes,NA,NA,ACRU
Salt,East,1740,21.2,ACRU,Yes,NA,NA,ACRU
Salt,East,1737,39,ACRU,Yes,NA,NA,ACRU
Salt,Out-west,1865,34.1,ACRU,Yes,NA,NA,ACRU
Salt,East,1716,20,ACRU,Yes,NA,NA,ACRU
Salt,Center,1788,28.9,ACRU,Yes,C8,NA,ACRU
Salt,Center,1767,7.3,ACRU,Yes,NA,NA,ACRU
Salt,Center,1776,24.5,ACRU,Yes,NA,NA,ACRU
Salt,East,1733,24.9,ACRU,Yes,C7,NA,ACRU
Salt,East,1756,19.2,ACRU,Yes,NA,NA,ACRU
Salt,Out-west,1879,10.1,ACRU,Yes,NA,NA,ACRU
Salt,East,1717,9.4,CACA18,Yes,NA,NA,CACA
Salt,Out-west,1850,14.2,CAGL8,Yes,NA,NA,CAGL
Salt,Center,1795,5.6,CAGL8,Yes,NA,NA,CAGL
Salt,Center,1765,3.7,CAGL8,Yes,NA,NA,CAGL
Salt,West,1816,33.2,CATO6,Yes,NA,NA,CATO
Salt,Center,1797,12,COFL2,Yes,NA,NA,COFL
Salt,East,1707,13.1,FAGR,Yes,NA,NA,FAGR
Salt,Center,1786,10.4,FAGR,Yes,NA,NA,FAGR
Salt,East,1725,6,FAGR,Yes,NA,NA,FAGR
Salt,West,1848,34.2,FAGR,Yes,NA,NA,FAGR
Salt,West,1840,7.5,FAGR,Yes,NA,NA,FAGR
Salt,East,1744,11.3,FAGR,Yes,NA,NA,FAGR
Salt,Center,1780,19.3,FAGR,Yes,NA,NA,FAGR
Salt,West,1814,11.3,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1863,9.2,FAGR,Yes,NA,NA,FAGR
Salt,East,1741,7.9,FAGR,Yes,NA,NA,FAGR
Salt,East,1755,17.5,FAGR,Yes,NA,NA,FAGR
Salt,West,1833,3.5,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1882,7,FAGR,Yes,NA,NA,FAGR
Salt,East,1734,3.5,FAGR,Yes,NA,NA,FAGR
Salt,Center,1761,8.8,FAGR,Yes,NA,NA,FAGR
Salt,Center,1792,11.7,FAGR,Yes,NA,NA,FAGR
Salt,West,1804,10.3,FAGR,Yes,NA,NA,FAGR
Salt,Center,1770,6.4,FAGR,Yes,NA,NA,FAGR
Salt,East,1724,1.8,FAGR,Yes,NA,NA,FAGR
Salt,West,1834,2.7,FAGR,Yes,NA,NA,FAGR
Salt,West,1826,9,FAGR,Yes,NA,NA,FAGR
Salt,East,1746,10.4,FAGR,Yes,NA,NA,FAGR
Salt,Center,1784,2.7,FAGR,Yes,NA,NA,FAGR
Salt,West,1849,5.3,FAGR,Yes,NA,NA,FAGR
Salt,West,1821,11.4,FAGR,Yes,NA,NA,FAGR
Salt,West,1832,3.6,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1868,32.5,FAGR,Yes,NA,NA,FAGR
Salt,East,1719,6.8,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1857,5.2,FAGR,Yes,NA,NA,FAGR
Salt,Center,1779,12.1,FAGR,Yes,NA,NA,FAGR
Salt,East,1743,11.9,FAGR,Yes,NA,NA,FAGR
Salt,West,1825,2.6,FAGR,Yes,NA,NA,FAGR
Salt,West,1818,18.1,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1874,2.6,FAGR,Yes,NA,NA,FAGR
Salt,East,1753,18.2,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1881,10.7,FAGR,Yes,NA,NA,FAGR
Salt,West,1839,27.3,FAGR,Yes,NA,NA,FAGR
Salt,West,1829,21.6,FAGR,Yes,NA,NA,FAGR
Salt,Center,1794,8.8,FAGR,Yes,NA,NA,FAGR
Salt,East,1723,6.4,FAGR,Yes,NA,NA,FAGR
Salt,West,1828,20.2,FAGR,Yes,NA,NA,FAGR
Salt,West,1810,4.5,FAGR,Yes,NA,NA,FAGR
Salt,West,1843,3.6,FAGR,Yes,NA,NA,FAGR
Salt,East,1721,23,FAGR,Yes,NA,NA,FAGR
Salt,East,1702,23.5,FAGR,Yes,NA,NA,FAGR
Salt,Center,1789,6.4,FAGR,Yes,NA,NA,FAGR
Salt,West,1819,4.3,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1884,6.2,FAGR,Yes,NA,Next to 1774,FAGR
Salt,Out-west,1851,30.2,FAGR,Yes,NA,NA,FAGR
Salt,Center,1763,4.1,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1872,9.4,FAGR,Yes,NA,NA,FAGR
Salt,West,1846,8,FAGR,Yes,NA,NA,FAGR
Salt,Center,1785,6.5,FAGR,Yes,NA,NA,FAGR
Salt,West,1841,16.1,FAGR,Yes,NA,NA,FAGR
Salt,East,1758,30.1,FAGR,Yes,NA,NA,FAGR
Salt,West,1827,6.1,FAGR,Yes,NA,NA,FAGR
Salt,East,1730,10.6,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1864,23.5,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1854,12.8,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1883,10.8,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1858,4.8,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1867,3,FAGR,Yes,NA,NA,FAGR
Salt,East,1732,6.8,FAGR,Yes,NA,NA,FAGR
Salt,East,1714,4.2,FAGR,Yes,NA,NA,FAGR
Salt,Center,1787,12.2,FAGR,Yes,NA,NA,FAGR
Salt,Center,1801,7.5,FAGR,Yes,NA,NA,FAGR
Salt,East,1751,2.8,FAGR,Yes,NA,NA,FAGR
Salt,East,1713,20.9,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1856,5.3,FAGR,Yes,NA,NA,FAGR
Salt,West,1805,4.1,FAGR,Yes,NA,NA,FAGR
Salt,Center,1764,8.9,FAGR,Yes,NA,NA,FAGR
Salt,East,1742,3.6,FAGR,Yes,NA,NA,FAGR
Salt,Center,1769,8.2,FAGR,Yes,NA,NA,FAGR
Salt,Center,1782,5.6,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1859,7,FAGR,Yes,NA,NA,FAGR
Salt,West,1842,2.5,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1875,8.6,FAGR,Yes,NA,NA,FAGR
Salt,West,1806,16.9,FAGR,Yes,NA,NA,FAGR
Salt,Center,1791,4.7,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1866,2.4,FAGR,Yes,NA,NA,FAGR
Salt,East,1748,4.7,FAGR,Yes,NA,NA,FAGR
Salt,Out-west,1878,10.2,FAGR,Yes,NA,NA,FAGR
Salt,East,1710,4.9,FAGR,Yes,NA,NA,FAGR
Salt,East,1736,6.9,FAGR,Yes,NA,NA,FAGR
Salt,East,1729,6.3,FAGR,Yes,NA,NA,FAGR
Salt,Center,1766,5.3,FAGR,Yes,NA,NA,FAGR
Salt,West,1844,35.5,LIST2,Yes,NA,NA,LIST
Salt,Out-west,1885,40.6,LIST2,Yes,NA,Next to 1823,LIST
Salt,East,1705,32.3,LIST2,Yes,NA,NA,LIST
Salt,Out-west,1876,49.5,LIST2,Yes,NA,NA,LIST
Salt,East,1708,45.4,LIST2,Yes,NA,NA,LIST
Salt,West,1808,29.1,LIST2,Yes,NA,NA,LIST
Salt,West,1812,30.9,LIST2,Yes,NA,NA,LIST
Salt,West,1813,37.8,LIST2,Yes,NA,NA,LIST
Salt,East,1704,33.6,LIST2,Yes,NA,NA,LIST
Salt,West,1809,29.1,LIST2,Yes,NA,NA,LIST
Salt,Center,1762,39.3,LIST2,Yes,NA,NA,LIST
Salt,Out-west,1860,35.9,LIST2,Yes,NA,NA,LIST
Salt,West,1824,50.3,LITU,Yes,NA,NA,LITU
Salt,Center,1778,44,LITU,Yes,C5,NA,LITU
Salt,West,1845,40.2,LITU,Yes,NA,NA,LITU
Salt,East,1706,24.2,LITU,Yes,NA,NA,LITU
Salt,Center,1783,36.7,LITU,Yes,C3,NA,LITU
Salt,Out-west,1873,46.6,LITU,Yes,NA,NA,LITU
Salt,East,1727,58.6,LITU,Yes,NA,NA,LITU
Salt,East,1750,45.7,LITU,Yes,NA,NA,LITU
Salt,Center,1798,67.9,LITU,Yes,NA,NA,LITU
Salt,Center,1768,42.1,LITU,Yes,NA,NA,LITU
Salt,Center,1800,28.7,LITU,Yes,NA,NA,LITU
Salt,Out-west,1862,24.2,LITU,Yes,NA,NA,LITU
Salt,Out-west,1870,51.6,LITU,Yes,NA,NA,LITU
Salt,East,1718,64,LITU,Yes,NA,NA,LITU
Salt,Out-west,1871,35.8,LITU,Yes,NA,NA,LITU
Salt,Center,1771,47.3,LITU,Yes,C1,NA,LITU
Salt,Center,1759,35.6,LITU,Yes,NA,NA,LITU
Salt,East,1709,27.5,LITU,Yes,NA,NA,LITU
Salt,West,1811,41.7,LITU,Yes,NA,NA,LITU
Salt,Center,1781,50.4,LITU,Yes,C4,NA,LITU
Salt,East,1712,47.8,LITU,Yes,NA,NA,LITU
Salt,East,1703,32.7,LITU,Yes,NA,NA,LITU
Salt,West,1817,47.1,LITU,Yes,NA,NA,LITU
Salt,West,1820,51.4,LITU,Yes,NA,NA,LITU
Salt,East,1701,48.8,LITU,Yes,NA,NA,LITU
Salt,East,1720,32.7,LITU,Yes,NA,NA,LITU
Salt,West,1836,55.5,LITU,Yes,NA,NA,LITU
Salt,Center,1774,34.4,LITU,Yes,NA,NA,LITU
Salt,Out-west,1880,55.1,LITU,Yes,NA,NA,LITU
Salt,Center,1773,49.3,LITU,Yes,C6,NA,LITU
Salt,West,1847,40.7,LITU,Yes,NA,NA,LITU
Salt,West,1831,31.7,LITU,Yes,NA,NA,LITU
Salt,Out-west,1877,20,LITU,Yes,NA,NA,LITU
Salt,Out-west,1861,39.9,LITU,Yes,NA,NA,LITU
Salt,Out-west,1855,42.4,LITU,Yes,NA,NA,LITU
Salt,West,1815,43.3,LITU,Yes,NA,NA,LITU
Salt,West,1822,40.5,LITU,Yes,NA,NA,LITU
Salt,Out-west,1853,62.7,LITU,Yes,NA,NA,LITU
Salt,Center,1790,61,LITU,Yes,C2,NA,LITU
Salt,Out-west,1852,50.1,LITU,Yes,NA,NA,LITU
Salt,Center,1799,22.1,LITU,Yes,NA,NA,LITU
Salt,East,1754,31.7,LITU,Yes,NA,NA,LITU
Salt,Center,1777,38.2,LITU,Yes,NA,NA,LITU
Salt,Center,1760,43.7,LITU,Yes,NA,NA,LITU
Salt,East,1711,30.6,LITU,Yes,NA,NA,LITU
Salt,West,1838,46.6,LITU,Yes,NA,NA,LITU
Salt,West,1803,42.1,LITU,Yes,NA,NA,LITU
Salt,West,1830,35.6,LITU,Yes,NA,NA,LITU
Salt,East,1731,7.7,NYSY,Yes,NA,NA,NYSY
Salt,West,1837,3.8,NYSY,Yes,NA,NA,NYSY
Salt,East,1739,7,NYSY,Yes,NA,NA,NYSY
Salt,East,1735,7.6,NYSY,Yes,NA,NA,NYSY
Salt,West,1823,14.1,QUAL,Yes,NA,NA,QUAL
Salt,West,1802,16.3,QUFA,Yes,NA,NA,QUFA
