Site,Plot,Tag,Extra_tag,Species_code,DBH_cm_2018,State_2018,Date_2018,DBH_cm_2019,State_2019,Date_2019,Notes,Species
SERC,HSHE,931,NA,ACRU,33.7,Alive,2018-04-13,33.9,Alive,2019-04-16,NA,ACRU
SERC,HSHE,942,NA,ACRU,17.3,Alive,2018-04-13,17.2,Alive,2019-04-16,NA,ACRU
SERC,HSHE,929,NA,ACRU,11,Alive,2018-04-13,10.9,Alive,2019-04-16,NA,ACRU
SERC,HSHE,921,NA,ACRU,12.4,Alive,2018-04-13,12.4,Alive,2019-04-16,NA,ACRU
SERC,HSHE,923,NA,FAGR,9.1,Alive,2018-04-13,9.1,Alive,2019-04-16,NA,FAGR
SERC,HSHE,904,NA,FAGR,7.3,Alive,2018-04-13,7.5,Alive,2019-04-16,NA,FAGR
SERC,HSHE,911,NA,FAGR,11.5,Alive,2018-04-13,11.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,917,NA,FAGR,11.4,Alive,2018-04-13,11.6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,925,NA,FAGR,23.5,Alive,2018-04-13,24,Alive,2019-04-16,NA,FAGR
SERC,HSHE,936,NA,FAGR,5.9,Alive,2018-04-13,6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,901,NA,FAGR,59.7,Alive,2018-04-13,59.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,902,NA,FAGR,25.4,Alive,2018-04-13,24.5,Alive,2019-04-16,NA,FAGR
SERC,HSHE,939,NA,FAGR,6.7,Alive,2018-04-13,6.8,Alive,2019-04-16,NA,FAGR
SERC,HSHE,934,NA,FAGR,12.3,Alive,2018-04-13,12.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,946,NA,FAGR,16.4,Alive,2018-04-13,16.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,909,NA,FAGR,4.3,Alive,2018-04-13,4.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,947,NA,FAGR,15.6,Alive,2018-04-13,16,Alive,2019-04-16,NA,FAGR
SERC,HSHE,903,NA,FAGR,NA,Alive,2018-04-13,NA,Alive,2019-04-16,"Not found, check 2018 sheet",FAGR
SERC,HSHE,933,NA,FAGR,2.5,Alive,2018-04-13,2.6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,937,NA,FAGR,2.3,Alive,2018-04-13,2.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,945,NA,FAGR,16.1,Alive,2018-04-13,16.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,924,NA,FAGR,10.1,Alive,2018-04-13,10.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,915,NA,FAGR,5.2,Alive,2018-04-13,5.4,Alive,2019-04-16,Check 2018 sheet,FAGR
SERC,HSHE,913,NA,FAGR,16.1,Alive,2018-04-13,16.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,907,NA,LIST,13.6,Alive,2018-04-13,13.6,Alive,2019-04-16,NA,LIST
SERC,HSHE,941,NA,NYSY,13.4,Alive,2018-04-13,13.4,Alive,2019-04-16,NA,NYSY
SERC,HSLE,719,NA,ACRU,22.3,Alive,2018-04-13,22.5,Alive,2019-04-16,NA,ACRU
SERC,HSLE,718,NA,ACRU,35.6,Alive,2018-04-13,35.6,Alive,2019-04-16,NA,ACRU
SERC,HSLE,713,NA,ACRU,20.9,Alive,2018-04-13,39.5,Alive,2019-04-16,NA,ACRU
SERC,HSLE,726,NA,ACRU,3.9,Alive,2018-04-13,3.9,Alive,2019-04-16,NA,ACRU
SERC,HSLE,743,NA,FAGR,45.4,Alive,2018-04-13,45.5,Alive,2019-04-16,NA,FAGR
SERC,HSLE,728,NA,FAGR,16.1,Alive,2018-04-13,10.3,Alive,2019-04-16,NA,FAGR
SERC,HSLE,746,NA,FAGR,15.8,Alive,2018-04-13,16.1,Alive,2019-04-16,NA,FAGR
SERC,HSLE,733,NA,FAGR,4.7,Alive,2018-04-13,4.8,Alive,2019-04-16,NA,FAGR
SERC,HSLE,735,NA,FAGR,12.2,Alive,2018-04-13,12.5,Alive,2019-04-16,NA,FAGR
SERC,HSLE,731,NA,FAGR,3.7,Alive,2018-04-13,3.8,Alive,2019-04-16,NA,FAGR
SERC,HSLE,712,NA,LIST,41.3,Alive,2018-04-13,41.2,Alive,2019-04-16,NA,LIST
SERC,HSLE,703,NA,LIST,44.1,Alive,2018-04-13,44.2,Alive,2019-04-16,NA,LIST
SERC,HSLE,702,NA,NYSY,20.9,Alive,2018-04-13,21,Alive,2019-04-16,NA,NYSY
SERC,HSME,844,NA,ACRU,12.8,Alive,2018-04-13,12.6,Alive,2019-04-16,NA,ACRU
SERC,HSME,847,NA,FAGR,16.4,Alive,2018-04-13,16.5,Alive,2019-04-16,NA,FAGR
SERC,HSME,824,NA,FAGR,14.8,Alive,2018-04-13,14.7,Alive,2019-04-16,NA,FAGR
SERC,HSME,827,NA,FAGR,10.2,Alive,2018-04-13,10.2,Alive,2019-04-16,NA,FAGR
SERC,HSME,825,NA,FAGR,30.8,Alive,2018-04-13,31.2,Alive,2019-04-16,NA,FAGR
SERC,HSME,809,NA,FAGR,23.3,Alive,2018-04-13,23.5,Alive,2019-04-16,NA,FAGR
SERC,HSME,849,NA,FAGR,6.1,Alive,2018-04-13,6.3,Alive,2019-04-16,NA,FAGR
SERC,HSME,819,NA,FAGR,14.7,Alive,2018-04-13,15.5,Alive,2019-04-16,NA,FAGR
SERC,LSHE,303,NA,FAGR,45.6,Alive,2018-05-23,45.7,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020320,NA,FAGR,4.1,Alive,2018-05-23,4.2,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020012,NA,FAGR,9.8,Alive,2018-05-23,9.9,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020308,NA,FAGR,14.6,Alive,2018-05-23,15.2,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020106,NA,FAGR,41.7,Alive,2018-05-23,42.4,Alive,2019-05-31,NA,FAGR
SERC,LSHE,312,NA,FAGR,6.2,Alive,2018-05-23,6.2,Alive,2019-05-31,NA,FAGR
SERC,LSHE,307,NA,FAGR,8.9,Alive,2018-05-23,9.3,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020101,NA,FAGR,6.8,Alive,2018-05-23,6.7,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020005,NA,FAGR,5,Alive,2018-05-23,5.1,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG010515,NA,FAGR,6.4,Alive,2018-05-23,6.6,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020315,NA,FAGR,8.3,Alive,2018-05-23,8.9,Alive,2019-05-31,NA,FAGR
SERC,LSHE,313,NA,FAGR,7.9,Alive,2018-05-23,8,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020103,NA,FAGR,2.7,Alive,2018-05-23,2.9,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG010513,NA,FAGR,5,Alive,2018-05-23,5.2,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020195,NA,FAGR,1.9,Alive,2018-05-23,NA,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020311,NA,FAGR,6.1,Alive,2018-05-23,6.8,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020002,NA,FAGR,2.4,Alive,2018-05-23,2.5,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020312,NA,FAGR,5.7,Alive,2018-05-23,5.7,Alive,2019-05-31,NA,FAGR
SERC,LSHE,305,NA,FAGR,2.8,Alive,2018-05-23,3,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG010511,NA,FAGR,7.5,Alive,2018-05-23,7.6,Alive,2019-05-31,NA,FAGR
SERC,LSHE,304,NA,FAGR,2.4,Alive,2018-05-23,2.4,Alive,2019-05-31,NA,FAGR
SERC,LSHE,309,NA,FAGR,6.2,Alive,2018-05-23,6.4,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020009,NA,FAGR,12.4,Alive,2018-05-23,12.6,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020104,NA,FAGR,27.5,Alive,2018-05-23,27.5,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020102,NA,FAGR,52.3,Alive,2018-05-23,52.6,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG011175,NA,FAGR,1.9,Alive,2018-05-23,NA,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG010403,NA,FAGR,16.6,Alive,2018-05-23,17.1,Alive,2019-05-31,NA,FAGR
SERC,LSHE,302,NA,FAGR,4.6,Alive,2018-05-23,4.8,Alive,2019-05-31,NA,FAGR
SERC,LSHE,310,NA,FAGR,3.3,Alive,2018-05-23,3.3,Alive,2019-05-31,NA,FAGR
SERC,LSHE,306,NA,FAGR,66.4,Alive,2018-05-23,66.6,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020108,NA,FAGR,33.4,Alive,2018-05-23,33.7,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020107,NA,FAGR,15.6,Alive,2018-05-23,15.7,Alive,2019-05-31,NA,FAGR
SERC,LSHE,308,NA,FAGR,5.2,Alive,2018-05-23,5.4,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG010286,NA,FAGR,3.7,Alive,2018-05-23,3.8,Alive,2019-05-31,NA,FAGR
SERC,LSHE,FG020003,NA,LIST,57.5,Alive,2018-05-23,57.5,Alive,2019-05-31,NA,LIST
SERC,LSLE,101,FG010150,FAGR,3.4,Alive,2018-05-23,3.5,Alive,2019-06-02,NA,FAGR
SERC,LSLE,140,NA,FAGR,5.5,Alive,2018-05-23,5.7,Alive,2019-06-02,NA,FAGR
SERC,LSLE,104,FG010145,FAGR,2.8,Alive,2018-05-23,3.1,Alive,2019-06-02,NA,FAGR
SERC,LSLE,106,FG010143,FAGR,3.1,Alive,2018-05-23,3.2,Alive,2019-06-02,NA,FAGR
SERC,LSLE,129,NA,FAGR,4,Alive,2018-05-23,4.1,Alive,2019-06-02,NA,FAGR
SERC,LSLE,117,FG010131,FAGR,7.2,Alive,2018-05-23,7.5,Alive,2019-06-02,NA,FAGR
SERC,LSLE,FG010137,NA,FAGR,3.1,Alive,2018-05-23,3.1,Alive,2019-06-02,NA,FAGR
SERC,LSLE,138,NA,FAGR,57.7,Alive,2018-05-23,59,Alive,2019-06-02,NA,FAGR
SERC,LSLE,134,NA,FAGR,6.9,Alive,2018-05-23,7.2,Alive,2019-06-02,NA,FAGR
SERC,LSLE,132,NA,FAGR,2.9,Alive,2018-05-23,2.9,Alive,2019-06-02,NA,FAGR
SERC,LSLE,125,NA,FAGR,3.2,Alive,2018-05-23,3.4,Alive,2019-06-02,NA,FAGR
SERC,LSLE,105,FG010142,FAGR,4,Alive,2018-05-23,4.3,Alive,2019-06-02,NA,FAGR
SERC,LSLE,109,FG011155 FG011154,FAGR,33.1,Alive,2018-05-23,32.7,Alive,2019-06-02,NA,FAGR
SERC,LSLE,137,NA,FAGR,45.5,Alive,2018-05-23,45.9,Alive,2019-06-02,NA,FAGR
SERC,LSLE,136,NA,FAGR,55.5,Alive,2018-05-23,55.8,Alive,2019-06-02,NA,FAGR
SERC,LSLE,103,FG010147,FAGR,2.9,Alive,2018-05-23,2.9,Alive,2019-06-02,NA,FAGR
SERC,LSLE,118,FG010139,FAGR,5.6,Alive,2018-05-23,5.7,Alive,2019-06-02,NA,FAGR
SERC,LSLE,113,FG010132,LIST,6.1,Alive,2018-05-23,6.1,Alive,2019-06-02,NA,LIST
SERC,LSLE,111,NA,LIST,32.7,Alive,2018-05-23,32.5,Alive,2019-06-02,NA,LIST
SERC,LSLE,139,NA,LIST,52.6,Alive,2018-05-23,52.8,Alive,2019-06-02,NA,LIST
SERC,LSLE,114,FG010128,LIST,8,Alive,2018-05-23,8,Alive,2019-06-02,NA,LIST
SERC,LSLE,130,NA,NYSY,28.8,Alive,2018-05-23,28.8,Alive,2019-06-02,NA,NYSY
SERC,LSLE,119,FG010140,NYSY,14.4,Alive,2018-05-23,14.7,Alive,2019-06-02,NA,NYSY
SERC,LSLE,135,NA,NYSY,3.7,Alive,2018-05-23,3.8,Alive,2019-06-02,NA,NYSY
SERC,LSLE,116,NA,NYSY,6.2,Alive,2018-05-23,6.2,Alive,2019-06-02,NA,NYSY
SERC,LSLE,131,NA,NYSY,5.3,Alive,2018-05-23,5.3,Alive,2019-06-02,NA,NYSY
SERC,LSLE,115,FG010129,NYSY,4.4,Alive,2018-05-23,4.4,Alive,2019-06-02,NA,NYSY
SERC,LSME,FG010197,NA,ACRU,12.2,Alive,2018-05-23,12.3,Alive,2019-05-31,NA,ACRU
SERC,LSME,FG010262,NA,FAGR,11,Alive,2018-05-23,11,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010198,NA,FAGR,6.3,Alive,2018-05-23,6.3,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010278,NA,FAGR,8.1,Alive,2018-05-23,8.3,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010099,NA,FAGR,6.9,Alive,2018-05-23,6.8,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010381,NA,FAGR,9.4,Alive,2018-05-23,9.7,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010284,NA,FAGR,18.2,Alive,2018-05-23,18.5,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010281,NA,FAGR,10.2,Alive,2018-05-23,10.4,Alive,2019-05-31,NA,FAGR
SERC,LSME,NA,NA,FAGR,2,Alive,2018-05-23,NA,Alive,2019-05-31,"BBL 5/23/2018: No tag (broken), south edge of plot",FAGR
SERC,LSME,201,NA,FAGR,35.2,Alive,2018-05-23,35.8,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010195,NA,FAGR,7.7,Alive,2018-05-23,7.6,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010088,NA,FAGR,30.4,Alive,2018-05-23,30.4,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010382,NA,FAGR,17.1,Alive,2018-05-23,17.3,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010503,NA,FAGR,3.4,Alive,2018-05-23,3.4,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010280,NA,FAGR,4.5,Alive,2018-05-23,4.5,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010275,NA,FAGR,5.1,Alive,2018-05-23,5.1,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010091,NA,FAGR,6.3,Alive,2018-05-23,6.4,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010367,NA,FAGR,16,Alive,2018-05-23,17.1,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010183,NA,FAGR,25.9,Alive,2018-05-23,26.2,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010189,NA,FAGR,2.7,Alive,2018-05-23,2.8,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010282,NA,FAGR,9.6,Alive,2018-05-23,9.5,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010271,NA,FAGR,11.8,Alive,2018-05-23,12.5,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010269,NA,FAGR,9.8,Alive,2018-05-23,9.7,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010093,NA,FAGR,15.1,Alive,2018-05-23,15.3,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010098,NA,FAGR,11.5,Alive,2018-05-23,11.9,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010089,NA,FAGR,9.9,Alive,2018-05-23,10,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010401,NA,FAGR,4.5,Alive,2018-05-23,4.9,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010196,NA,FAGR,3.6,Alive,2018-05-23,2.9,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010501,NA,FAGR,2.7,Alive,2018-05-23,2.8,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010200,NA,FAGR,56.4,Alive,2018-05-23,56.7,Alive,2019-05-31,BBL 5/23/2018: diameters on FG trees taken above tag (if nailed) or at breast height (if looped),FAGR
SERC,LSME,FG010274,NA,FAGR,4.3,Alive,2018-05-23,4.2,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG01268,NA,FAGR,10.5,Alive,2018-05-23,10.6,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010083,NA,FAGR,5.1,Alive,2018-05-23,5.2,Alive,2019-06-02,"BBL 5/23/2018: No tag, south edge of plot",FAGR
SERC,LSME,FG010272,NA,FAGR,3.5,Alive,2018-05-23,3.5,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010179,NA,FAGR,34.8,Alive,2018-05-23,35.2,Alive,2019-05-31,NA,FAGR
SERC,LSME,NA,NA,FAGR,1.7,Alive,2018-05-23,1.8,Alive,2019-06-02,BBL 5/23/2018: No tag,FAGR
SERC,LSME,FG010081,NA,FAGR,3.8,Alive,2018-05-23,3.8,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010085,NA,FAGR,2.3,Alive,2018-05-23,2.3,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010267,NA,FAGR,31.3,Alive,2018-05-23,31.2,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010263,NA,FAGR,20.1,Alive,2018-05-23,21,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010097,NA,FAGR,2.7,Alive,2018-05-23,2.7,Alive,2019-06-02,NA,FAGR
SERC,LSME,FG010194,NA,FAGR,6,Alive,2018-05-23,6,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010184,NA,FAGR,1.2,Alive,2018-05-23,1.2,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010283,NA,FAGR,9.3,Alive,2018-05-23,9.3,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010226,NA,FAGR,5.4,Alive,2018-05-23,NA,Alive,2019-05-31,NA,FAGR
SERC,LSME,FG010086,NA,LIST,53.1,Alive,2018-05-23,53.5,Alive,2019-05-31,NA,LIST
SERC,LSME,FG010679,NA,LIST,3.8,Alive,2018-05-23,3.8,Alive,2019-06-02,NA,LIST
SERC,MSHE,618,NA,ACRU,13.1,Alive,2018-04-13,13.1,Alive,2019-04-25,NA,ACRU
SERC,MSHE,607,NA,ACRU,20.5,Alive,2018-04-13,20.7,Alive,2019-04-25,NA,ACRU
SERC,MSHE,631,NA,FAGR,5.5,Alive,2018-04-13,5.8,Alive,2019-04-25,NA,FAGR
SERC,MSHE,627,NA,FAGR,5.8,Alive,2018-04-13,6,Alive,2019-04-25,NA,FAGR
SERC,MSHE,628,NA,FAGR,28.9,Alive,2018-04-13,29.1,Alive,2019-04-25,NA,FAGR
SERC,MSHE,623,NA,FAGR,53.7,Alive,2018-04-13,53.6,Alive,2019-04-25,NA,FAGR
SERC,MSHE,634,NA,FAGR,39.6,Alive,2018-04-13,39.6,Alive,2019-04-25,NA,FAGR
SERC,MSHE,629,NA,FAGR,8.6,Alive,2018-04-13,8.9,Alive,2019-04-25,NA,FAGR
SERC,MSHE,606,NA,FAGR,5,Alive,2018-04-13,5.1,Alive,2019-04-25,NA,FAGR
SERC,MSHE,604,NA,FAGR,25.9,Alive,2018-04-13,25.3,Alive,2019-04-25,NA,FAGR
SERC,MSHE,622,NA,FAGR,14.6,Alive,2018-04-13,14.7,Alive,2019-04-25,NA,FAGR
SERC,MSHE,630,NA,LIST,19.4,Alive,2018-04-13,19.4,Alive,2019-04-25,NA,LIST
SERC,MSHE,632,NA,NYSY,46.1,Alive,2018-04-13,46.3,Alive,2019-04-25,NA,NYSY
SERC,MSHE,614,NA,NYSY,32.3,Alive,2018-04-13,32.4,Alive,2019-04-25,NA,NYSY
SERC,MSHE,621,NA,NYSY,21.4,Alive,2018-04-13,21.3,Alive,2019-04-25,NA,NYSY
SERC,MSHE,605,NA,NYSY,34.9,Alive,2018-04-13,35.6,Alive,2019-04-25,NA,NYSY
SERC,MSHE,633,NA,NYSY,5,Alive,2018-04-13,5,Alive,2019-04-25,NA,NYSY
SERC,MSHE,620,NA,NYSY,15,Alive,2018-04-13,14.8,Alive,2019-04-25,2019 barely alive,NYSY
SERC,MSHE,609,NA,NYSY,19.5,Alive,2018-04-13,19.6,Alive,2019-04-25,NA,NYSY
SERC,MSLE,438,NA,ACRU,14.5,Alive,2018-04-13,14.5,Alive,2019-04-25,NA,ACRU
SERC,MSLE,403,NA,ACRU,8.4,Alive,2018-04-13,8.5,Alive,2019-04-25,NA,ACRU
SERC,MSLE,443,NA,FAGR,10.2,Alive,2018-04-13,10.5,Alive,2019-04-25,NA,FAGR
SERC,MSLE,436,NA,FAGR,25.7,Alive,2018-04-13,26.2,Alive,2019-04-25,NA,FAGR
SERC,MSLE,450,NA,FAGR,17.4,Alive,2018-04-13,17.9,Alive,2019-04-25,NA,FAGR
SERC,MSLE,404,NA,FAGR,23.1,Alive,2018-04-13,23.2,Alive,2019-04-25,NA,FAGR
SERC,MSLE,417,NA,FAGR,32.3,Alive,2018-04-13,32.9,Alive,2019-04-25,NA,FAGR
SERC,MSLE,440,NA,FAGR,3.6,Alive,2018-04-13,4.3,Alive,2019-04-25,NA,FAGR
SERC,MSLE,431,NA,FAGR,47.4,Alive,2018-04-13,48.1,Alive,2019-04-25,NA,FAGR
SERC,MSLE,423,NA,FAGR,22.9,Alive,2018-04-13,23.3,Alive,2019-04-25,NA,FAGR
SERC,MSLE,420,NA,FAGR,16.1,Alive,2018-04-13,16,Alive,2019-04-25,NA,FAGR
SERC,MSLE,425,NA,FAGR,33.4,Alive,2018-04-13,34.2,Alive,2019-04-25,NA,FAGR
SERC,MSLE,408,NA,FAGR,18,Alive,2018-04-13,18.1,Alive,2019-04-25,NA,FAGR
SERC,MSLE,402,NA,FAGR,28.6,Alive,2018-04-13,28.5,Alive,2019-04-25,NA,FAGR
SERC,MSLE,435,NA,FAGR,9.9,Alive,2018-04-13,10.1,Alive,2019-04-25,NA,FAGR
SERC,MSLE,445,NA,LIST,40.5,Alive,2018-04-13,40.9,Alive,2019-04-25,NA,LIST
SERC,MSLE,448,NA,LIST,62.7,Alive,2018-04-13,62.8,Alive,2019-04-25,NA,LIST
SERC,MSLE,429,NA,LIST,57.5,Alive,2018-04-13,57.4,Alive,2019-04-25,NA,LIST
SERC,MSLE,421,NA,LIST,42.8,Alive,2018-04-13,42.8,Alive,2019-04-25,NA,LIST
SERC,MSLE,434,NA,LIST,51.9,Alive,2018-04-13,52.2,Alive,2019-04-25,NA,LIST
SERC,MSLE,433,NA,LIST,60.8,Alive,2018-04-13,61,Alive,2019-04-25,NA,LIST
SERC,MSLE,410,NA,NYSY,4.9,Alive,2018-04-13,4.9,Alive,2019-04-25,NA,NYSY
SERC,MSLE,432,NA,NYSY,11,Alive,2018-04-13,11.1,Alive,2019-04-25,NA,NYSY
SERC,MSLE,407,NA,NYSY,8.3,Alive,2018-04-13,8.4,Alive,2019-04-25,NA,NYSY
SERC,MSLE,412,NA,NYSY,10.3,Alive,2018-04-13,10.4,Alive,2019-04-25,NA,NYSY
SERC,MSLE,441,NA,NYSY,34.8,Alive,2018-04-13,35,Alive,2019-04-25,NA,NYSY
SERC,MSLE,422,NA,NYSY,7.3,Alive,2018-04-13,7.4,Alive,2019-04-25,NA,NYSY
SERC,MSLE,401,NA,NYSY,4.2,Alive,2018-04-13,4.3,Alive,2019-04-25,NA,NYSY
SERC,MSLE,442,NA,NYSY,13,Alive,2018-04-13,13.1,Alive,2019-04-25,NA,NYSY
SERC,MSLE,418,NA,NYSY,14.1,Alive,2018-04-13,14.1,Alive,2019-04-25,NA,NYSY
SERC,MSLE,426,NA,NYSY,8.9,Alive,2018-04-13,9.1,Alive,2019-04-25,NA,NYSY
SERC,MSLE,419,NA,NYSY,5.7,Alive,2018-04-13,5.9,Alive,2019-04-25,NA,NYSY
SERC,MSLE,411,NA,NYSY,6.9,Alive,2018-04-13,7,Alive,2019-04-25,NA,NYSY
SERC,MSLE,406,NA,NYSY,7.2,Alive,2018-04-13,7.3,Alive,2019-04-25,NA,NYSY
SERC,MSLE,437,NA,NYSY,41,Alive,2018-04-13,41.1,Alive,2019-04-25,NA,NYSY
SERC,MSME,502,NA,ACRU,23.4,Alive,2018-04-13,23.7,Alive,2019-04-25,NA,ACRU
SERC,MSME,508,NA,ACRU,8.5,Alive,2018-04-13,8.5,Alive,2019-04-25,NA,ACRU
SERC,MSME,531,NA,ACRU,7.1,Alive,2018-04-13,7.4,Alive,2019-04-25,NA,ACRU
SERC,MSME,517,NA,FAGR,21.1,Alive,2018-04-13,21.3,Alive,2019-04-25,NA,FAGR
SERC,MSME,539,NA,FAGR,9.9,Alive,2018-04-13,10,Alive,2019-04-25,NA,FAGR
SERC,MSME,520,NA,FAGR,43.1,Alive,2018-04-13,43.3,Alive,2019-04-25,NA,FAGR
SERC,MSME,541,NA,FAGR,32.6,Alive,2018-04-13,32.7,Alive,2019-04-25,NA,FAGR
SERC,MSME,536,NA,FAGR,55.6,Alive,2018-04-13,56.1,Alive,2019-04-25,NA,FAGR
SERC,MSME,533,NA,FAGR,4.9,Alive,2018-04-13,5.1,Alive,2019-04-25,NA,FAGR
SERC,MSME,505,NA,FAGR,5.7,Alive,2018-04-13,5.7,Alive,2019-04-25,NA,FAGR
SERC,MSME,503,NA,FAGR,6.6,Alive,2018-04-13,6.7,Alive,2019-04-25,NA,FAGR
SERC,MSME,526,NA,FAGR,39.2,Alive,2018-04-13,39.6,Alive,2019-04-25,NA,FAGR
SERC,MSME,532,NA,FAGR,7.5,Alive,2018-04-13,7.5,Alive,2019-04-25,NA,FAGR
SERC,MSME,512,NA,FAGR,12.2,Alive,2018-04-13,12.3,Alive,2019-04-25,NA,FAGR
SERC,MSME,534,NA,FAGR,25.8,Alive,2018-04-13,26.2,Alive,2019-04-25,NA,FAGR
SERC,MSME,527,NA,FAGR,14.4,Alive,2018-04-13,14.5,Alive,2019-04-25,NA,FAGR
SERC,MSME,519,NA,FAGR,25.5,Alive,2018-04-13,25.7,Alive,2019-04-25,NA,FAGR
SERC,MSME,529,NA,LIST,48.9,Alive,2018-04-13,49.1,Alive,2019-04-25,NA,LIST
SERC,MSME,506,NA,NYSY,7.6,Alive,2018-04-13,7.6,Alive,2019-04-25,NA,NYSY
SERC,MSME,524,NA,NYSY,4.3,Alive,2018-04-13,4.5,Alive,2019-04-25,NA,NYSY
SERC,MSME,504,NA,NYSY,10.2,Alive,2018-04-13,10.3,Alive,2019-04-25,NA,NYSY
SERC,MSME,522,NA,NYSY,9.9,Alive,2018-04-13,10.1,Alive,2019-04-25,NA,NYSY
